epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,2438.91,1.26597,1.3404,2.38326,0.00592,0.86148,0.66376,0.78503,0.47877,1.34471,1.12678,2.43021,0.00274,0.0015248,0.0015248,0.0015248
38,2503.99,1.23508,1.31786,2.36449,0.00751,0.80992,0.66812,0.76636,0.49324,1.27869,1.15483,2.32806,0.0079,0.0015116,0.0015116,0.0015116
39,2569.16,1.27186,1.28445,2.37744,0.00776,0.85568,0.70306,0.79935,0.5131,1.24329,1.05799,2.28396,0.00542,0.0014984,0.0014984,0.0014984
40,2634.13,1.26625,1.36389,2.37972,0.00642,0.7924,0.7334,0.77961,0.47143,1.44228,1.14536,2.43618,0.01719,0.0014852,0.0014852,0.0014852
41,2699.12,1.22508,1.26379,2.34274,0.0079,0.72407,0.66376,0.69957,0.43771,1.42214,1.27971,2.41277,0.02206,0.001472,0.001472,0.001472
42,2764.18,1.23127,1.2635,2.35363,0.00659,0.71937,0.70306,0.74038,0.47032,1.33218,1.26342,2.34864,0.01217,0.0014588,0.0014588,0.0014588
43,2829.26,1.22466,1.28946,2.34763,0.00652,0.84482,0.71319,0.83062,0.49646,1.36547,0.98728,2.49074,0.00242,0.0014456,0.0014456,0.0014456
44,2894.61,1.23549,1.26379,2.34111,0.00702,0.72707,0.69869,0.72806,0.45608,1.28415,1.15204,2.34308,0.00661,0.0014324,0.0014324,0.0014324
45,2959.93,1.19614,1.25563,2.31508,0.00606,0.78602,0.73789,0.77401,0.46904,1.33116,1.16658,2.47202,0.00991,0.0014192,0.0014192,0.0014192
46,3025.28,1.19178,1.20811,2.3023,0.00766,0.76294,0.68122,0.74331,0.46775,1.32164,1.23705,2.36423,0.01392,0.001406,0.001406,0.001406
47,3090.71,1.17261,1.19554,2.28629,0.00629,0.78926,0.68996,0.78494,0.47172,1.33169,1.15241,2.40203,0.00439,0.0013928,0.0013928,0.0013928
48,3156.41,1.21207,1.22487,2.32781,0.00528,0.72475,0.71616,0.75429,0.44976,1.3541,1.21422,2.4533,0.00608,0.0013796,0.0013796,0.0013796
49,3221.9,1.17654,1.19102,2.27196,0.00559,0.79793,0.69869,0.74508,0.39063,1.57729,1.24967,2.62757,0.01235,0.0013664,0.0013664,0.0013664
50,3287.28,1.16587,1.19725,2.2798,0.00788,0.82196,0.69432,0.77498,0.47823,1.38201,1.12878,2.47526,0.00993,0.0013532,0.0013532,0.0013532
51,3352.54,1.15308,1.20537,2.23383,0.00717,0.79377,0.73952,0.79047,0.44692,1.43504,1.10065,2.52925,0.02509,0.00134,0.00134,0.00134
52,3418.13,1.17815,1.18613,2.29504,0.00735,0.80522,0.68996,0.76101,0.4442,1.44862,1.18972,2.58351,0.00907,0.0013268,0.0013268,0.0013268
53,3483.49,1.13784,1.1594,2.25389,0.0061,0.78363,0.71616,0.7377,0.41758,1.45094,1.25081,2.52216,0.00586,0.0013136,0.0013136,0.0013136
54,3549.02,1.14295,1.14655,2.25247,0.0064,0.7474,0.67188,0.72556,0.39909,1.46948,1.27929,2.60432,0.01233,0.0013004,0.0013004,0.0013004
55,3614.44,1.12822,1.1398,2.23041,0.00657,0.74188,0.70306,0.75472,0.45917,1.3511,1.20823,2.44664,0.01042,0.0012872,0.0012872,0.0012872
56,3679.63,1.13731,1.13668,2.22858,0.00816,0.75042,0.77293,0.774,0.49675,1.27157,1.03047,2.39772,0.00865,0.001274,0.001274,0.001274
57,3745.42,1.12862,1.08612,2.2113,0.00509,0.80705,0.70742,0.75064,0.43229,1.46367,1.16838,2.57354,0.01176,0.0012608,0.0012608,0.0012608
58,3810.99,1.13074,1.16122,2.21189,0.00745,0.81487,0.70742,0.77725,0.48844,1.34188,1.13356,2.36826,0.01034,0.0012476,0.0012476,0.0012476
59,3876.97,1.0954,1.07248,2.18264,0.00536,0.68936,0.62882,0.6644,0.40267,1.39583,1.35445,2.47092,0.00713,0.0012344,0.0012344,0.0012344
60,3942.86,1.09614,1.07129,2.19257,0.00672,0.70845,0.6685,0.70529,0.43603,1.36402,1.29089,2.39772,0.02655,0.0012212,0.0012212,0.0012212
61,4008.92,1.09313,1.08278,2.20399,0.00658,0.7817,0.70367,0.73948,0.46702,1.35347,1.1632,2.44627,0.00783,0.001208,0.001208,0.001208
62,4074.63,1.06694,1.05072,2.18073,0.00603,0.7099,0.74672,0.76007,0.46248,1.39236,1.12041,2.52161,0.0102,0.0011948,0.0011948,0.0011948
63,4140.52,1.09686,1.06942,2.19564,0.00571,0.80463,0.72052,0.77699,0.46411,1.39161,1.18933,2.48201,0.00795,0.0011816,0.0011816,0.0011816
64,4206.23,1.08032,1.0857,2.14831,0.00494,0.70771,0.67686,0.68521,0.41481,1.42055,1.33675,2.52317,0.00749,0.0011684,0.0011684,0.0011684
65,4272.07,1.07275,1.09716,2.14597,0.00562,0.75016,0.74672,0.76754,0.47201,1.38753,1.15925,2.47645,0.01042,0.0011552,0.0011552,0.0011552
66,4338.28,1.06435,1.06465,2.13207,0.00476,0.77877,0.68122,0.74017,0.45445,1.38906,1.24046,2.48167,0.00857,0.001142,0.001142,0.001142
67,4404.03,1.07159,1.07088,2.15945,0.00508,0.86212,0.67686,0.78382,0.47993,1.34405,1.18037,2.40267,0.00859,0.0011288,0.0011288,0.0011288
68,4470.41,1.04377,1.02644,2.11802,0.00531,0.81621,0.69816,0.73776,0.42949,1.53172,1.28572,2.64466,0.014,0.0011156,0.0011156,0.0011156
69,4536.15,1.04704,1.02969,2.12647,0.00428,0.81015,0.66812,0.75403,0.46534,1.42391,1.26908,2.47771,0.0117,0.0011024,0.0011024,0.0011024
70,4602.45,1.07836,1.02616,2.14936,0.00556,0.69056,0.69191,0.70116,0.36293,1.54543,1.37384,2.63552,0.01326,0.0010892,0.0010892,0.0010892
71,4668.77,1.04569,1.02977,2.1236,0.00518,0.82846,0.67249,0.76336,0.45053,1.43152,1.20779,2.52655,0.00829,0.001076,0.001076,0.001076
72,4734.8,1.03204,0.99756,2.11718,0.00585,0.82466,0.69869,0.79768,0.49955,1.35395,1.11121,2.55067,0.00678,0.0010628,0.0010628,0.0010628
73,4800.76,1.00379,0.97607,2.09385,0.00634,0.78247,0.70684,0.75133,0.46909,1.43025,1.35754,2.42104,0.02789,0.0010496,0.0010496,0.0010496
74,4866.94,1.01568,0.95749,2.10355,0.00823,0.74091,0.69932,0.76331,0.4683,1.42007,1.33015,2.53713,0.00751,0.0010364,0.0010364,0.0010364
75,4933.13,1.00157,0.9852,2.0902,0.00441,0.77603,0.73362,0.77349,0.47409,1.40832,1.25617,2.52213,0.01041,0.0010232,0.0010232,0.0010232
76,4999.63,0.99024,0.94742,2.07482,0.00515,0.76001,0.71616,0.74538,0.41736,1.51858,1.21749,2.66299,0.01568,0.00101,0.00101,0.00101
77,5065.74,1.00074,1.02241,2.06928,0.0058,0.78951,0.70429,0.77862,0.48721,1.3979,1.16329,2.4483,0.01277,0.0009968,0.0009968,0.0009968
78,5131.77,1.00311,0.93523,2.08272,0.00516,0.79688,0.70306,0.785,0.46924,1.43425,1.13671,2.50253,0.01161,0.0009836,0.0009836,0.0009836
79,5198.33,0.99884,0.95769,2.05493,0.00484,0.79282,0.65173,0.74702,0.44496,1.49545,1.30083,2.62294,0.01447,0.0009704,0.0009704,0.0009704
80,5264.97,0.97715,0.94463,2.03724,0.00492,0.74359,0.68996,0.74769,0.44235,1.44782,1.22621,2.54553,0.01727,0.0009572,0.0009572,0.0009572
81,5331.38,0.98853,0.95626,2.06429,0.00716,0.79813,0.72514,0.77356,0.4644,1.46617,1.21378,2.61323,0.02631,0.000944,0.000944,0.000944
82,5397.59,0.99111,0.9781,2.06634,0.00664,0.82779,0.67173,0.78496,0.47513,1.42872,1.10014,2.69764,0.00864,0.0009308,0.0009308,0.0009308
83,5463.89,0.96687,0.92436,2.04489,0.00538,0.79504,0.68996,0.76512,0.44245,1.46352,1.24108,2.59748,0.01062,0.0009176,0.0009176,0.0009176
84,5530.49,0.98186,0.95376,2.06208,0.00558,0.72932,0.74236,0.74339,0.44631,1.48947,1.2495,2.66388,0.02152,0.0009044,0.0009044,0.0009044
85,5597.44,0.96774,0.92288,2.03313,0.00436,0.78332,0.67249,0.71842,0.44343,1.41843,1.18544,2.54895,0.01441,0.0008912,0.0008912,0.0008912
86,5664.42,0.95596,0.9139,2.03794,0.00578,0.7532,0.71179,0.75374,0.44594,1.38752,1.30107,2.59897,0.00651,0.000878,0.000878,0.000878
87,5731.73,0.96548,0.92467,2.02657,0.00363,0.76417,0.72052,0.77725,0.486,1.36523,1.34545,2.52467,0.01469,0.0008648,0.0008648,0.0008648
88,5799.1,0.95545,0.91438,2.00333,0.00584,0.75227,0.70306,0.74959,0.43771,1.45466,1.34671,2.64327,0.0139,0.0008516,0.0008516,0.0008516
